Country,Rank by rate of ownership,Average,Low firearms per 100 people,High firearms per 100 people,total,Low total,High total,Registered,"Total from registered gunscorrelation",Total from regional or global correlation,"GNI (2005$)per capita",Population
Turkmenistan,114,3.8,3.8,3.8,180000,,,,,2777714,1340,74032900
Azerbaijan,115,3.5,3.5,3.5,290000,,,,,125895,1240,3626000
Egypt,115,3.5,3.5,3.5,1900000,,,,,22463,1260,636700
Bhutan,115,3.5,3.5,3.5,22000,,,,,293580,1250,8388000
Palestine,118,3.4,3.4,3.4,125000,,,,,1065804,1230,30946700
Bolivia,119,2.8,2.8,2.8,260000,,,,,22429,1010,793100
Cameroon,119,2.8,2.8,2.8,340000,,,,,370398,1000,13228500
Djibouti,119,2.8,2.8,2.8,22000,,,,,461583,1010,16321900
Congo,122,2.7,2.7,2.7,100000,,,,,47742,950,1794800
Lesotho,122,2.7,2.7,2.7,47000,,,,,200766,950,7547600
Ivory Coast,124,2.4,2.4,2.4,400000,,,,,207737,870,8527800
Senegal,125,2,2,2,230000,,,,,228703,700,11668500
Mongolia,126,1.9,1.9,1.9,50000,,,,,11602,690,600500
Comoros,127,1.8,1.8,1.8,11000,,,,,62140,650,3414300
Vietnam,128,1.7,1.7,1.7,1100000,,,,,1442946,620,83119000
Mauritania,129,1.6,1.6,1.6,50000,,,,,49837,580,3068800
Trinidad & Tobago,129,1.6,1.6,1.6,21000,,,7801,20571,,10300,1305300
Guinea-Bissau,129,1.6,1.6,1.6,25000,25000,25000,,,,180,1586400
Liberia,129,1.6,1.6,1.6,51000,,,,,51000,130,3283300
Malaysia,133,1.5,1.5,1.5,370000,,,142038,374554,,4970,25347400
Nigeria,133,1.5,0.7,2.2,2000000,1000000,3000000,,,,560,135700000
Sri Lanka,133,1.5,0.8,2.3,300000,150000,450000,30500,,,1160,19625400
Uzbekistan,133,1.5,1.5,1.5,1200000,,,,,380997,520,26167400
Benin,137,1.4,1.4,1.4,120000,,,,,120507,510,8438900
Brunei,137,1.4,1.4,1.4,5400,5400,5400,,,,51000,373900
Democratic Republic of C,137,1.4,1.4,1.4,800000,,,,,800000,120,57548800
Tanzania,137,1.4,1,1.8,550000,400000,700000,87000,,,340,38328800
Uganda,137,1.4,1.4,1.4,400000,400000,400000,,,,280,28816300
Ecuador,142,1.3,1.3,1.3,370000,370000,370000,117000,,,2620,27968300
Kazakhstan,142,1.3,0.7,2,200000,100000,300000,,,,2940,15146100
Poland,142,1.3,1.3,1.3,510000,510000,510000,314641,,,5425,38165500
Papua New Guinea,145,1.2,1.2,1.2,71000,,,27043,71312,,2000,5887200
Laos,145,1.2,1.2,1.2,71000,,,,,71327,430,5924200
Burundi,145,1.2,0.6,1.8,200000,100000,300000,,,,100,16800000
Guinea,145,1.2,1.2,1.2,110000,,,,,110569,420,9402100
Burkina Faso,149,1.1,1.1,1.1,148000,,,,,148152,400,13227900
Chad,149,1.1,1.1,1.1,109000,,,,,109189,400,9749000
"Korea, South",149,1.1,1.1,1.1,510000,,,300000,514800,,15840,48294200
Mali,149,1.1,1.1,1.1,143000,,,,,143837,380,13518500
Central African Republic,153,1,1,1,40000,,,,,39570,350,4037800
Tajikistan,153,1,0.5,1.5,65000,30000,100000,9863,,,330,6506100
Togo,153,1,1,1,60000,,,,,60221,350,6145000
Kyrgyzstan,156,0.9,0.6,1.2,45000,30000,60000,15000,,,450,5143500
Gambia,157,0.8,0.8,0.8,123000,,,,,123189,290,15171000
Madegascar,157,0.8,0.8,0.8,150000,,,,,151081,290,18606000
Nepal,159,0.8,0.8,0.8,205000,,,,,205123,270,27132700
Lithuania,160,0.7,0.7,0.7,135000,,,77653,133253,,7210,19043400
Malawi,160,0.7,0.7,0.7,92000,,,35000,92295,,160,12884000
Niger,160,0.7,0.7,0.7,93000,,,,,93791,240,13957000
Romania,160,0.7,0.7,0.7,160000,,,61238,161485,,3910,21634400
Japan,164,0.6,0.6,0.6,710000,,,413096,708873,,38950,127565000
"Korea, North",164,0.6,0.6,0.6,130000,,,,,130000,1900,22487700
Rwanda,164,0.6,0.6,0.6,58000,,,,,58203,230,9037700
Sierra Leone,164,0.6,0.6,0.6,34000,,,,,34037,220,5525500
Haiti,164,0.6,0.6,0.6,190000,190000,190000,20379,,,450,34255800
Bangladesh,169,0.5,0.4,0.6,700000,600000,800000,185000,,,470,141822300
Fiji,169,0.5,0.5,0.5,4000,,,1538,4056,,3170,847700
Eritrea,169,0.5,0.5,0.5,20000,,,,,20951,170,4401400
Indonesia,169,0.5,0.5,0.5,1000000,1000000,1000000,34150,,,1280,220558000
Singapore,169,0.5,0.5,0.5,22000,22000,22000,,,,27580,4341800
Ethiopia,174,0.4,0.4,0.4,320000,,,,,319227,160,71256000
Ghana,174,0.4,0.2,0.5,80000,40000,120000,,,,450,22112800
Solomon Islands,174,0.4,0.4,0.4,1800,1775,1775,,,,620,477800
East Timor,177,0.3,0.3,0.3,3000,,,,,3000,,950000
Tunisia,178,0.1,0.1,0.1,9000,,,3408,8987,,2880,10029000
